7 11
Route	From	To	Days
1	HZ	HB	1,2,3,4,5,6,7
1	HB	HZ	1,2,3,4,5,6,7
2	HZ	HB	1,2,3,4,5,6,7
2	HB	HZ	1,2,3,4,5,6,7
3	HZ	HZ	1,2,3,4,5,6,7
3	HZ	HZ	1,2,3,4,5,6,7
4	HZ	HZ	1,2,3,4,5,6,7
4	HZ	XA	2,4,6
4	XA	HZ	2,4,6
5	HZ	SZ	1,2,3,4,5,6,7
6	SZ	HZ	1,2,3,4,5,6,7
6	HZ	CD	1,2,3,4,5,6,7
7	CD	HZ	1,2,3,4,5,6,7
7	HZ	XA	1,3,5,7
7	XA	HZ	1,3,5,7
7	HZ	KM	2,4,6
7	KM	HZ	2,4,6
8	HZ	HZ	1,2,3,4,5,6,7
9	HZ	HZ	1,2,3,4,5,6,7
9	HZ	HZ	1,2,3,4,5,6,7
10	HZ	XA	1,2,3,4,5,6,7
10	XA	XA	1,2,3,4,5,6,7
11	XA	HZ	1,2,3,4,5,6,7
11	XA	XA	1,2,3,4,5,6,7
12	HZ	HZ	1,2,3,4,5,6,7
12	HZ	KM	1,2,3,4,5,6,7
13	KM	CC	1,2,3,4,5,6,7
13	CC	KM	1,2,3,4,5,6,7
14	KM	HZ	1,2,3,4,5,6,7
14	HZ	WM	1,2,3,4,5,6,7
15	WM	HZ	1,2,3,4,5,6,7
15	HZ	HZ	1,3,5,7
16	HZ	HB	1,2,3,4,5,6,7
16	HB	HZ	1,2,3,4,5,6,7
16	HZ	BJ	1,2,3,4,5,6,7
17	BJ	XA	1,2,3,4,5,6,7
17	XA	YZ	1,2,3,4,5,6,7
17	YZ	XA	1,2,3,4,5,6,7
17	XA	BJ	1,2,3,4,5,6,7
18	BJ	HZ	1,2,3,4,5,6,7
18	HZ	HZ	1,2,3,5,7
18	HZ	CC	4,6
18	CC	HZ	4,6
19	HZ	HZ	1,2,3,4,5,6,7
20	HZ	HZ	1,2,3,4,5,6,7
21	HZ	HZ	1,2,3,4,5,6,7
21	HZ	HZ	1,3,5,7
22	HB	HB	1,2,3,4,5,6,7	
22	HB	HB	1,2,3,4,5,6,7
23	HB	HB	1,2,3,4,5,6,7
24	HZ	HZ	1,3,4,5,6,7
24	HZ	CC	2
24	CC	HZ	2
25	HZ	NB	1,2,3,4,5,6,7
25	NB	HZ	1,2,3,4,5,6,7
26	NB	NB	1,2,3,4,5,6,7
26	NB	NB	1,2,4,5,6,7
27	NB	NB	1,6
27	NB	KM	2,3,4,5,7
27	KM	NB	2,3,4,5,7
28	NB	NB	1,2,3,4,5,6,7
